"likert_or_number","participant_id","question_id","priming","response","response_time","scale_size","question_valence"
"likert","0jdztl5","12","No Priming",4.4320625,29931,5,"Positive"
"likert","0jdztl5","5","No Priming",6.91111111111111,12230,9,"Positive"
"likert","0jdztl5","20","No Priming",2.4400625,29448,5,"Negative"
"likert","0jdztl5","7","No Priming",8.87555555555556,25298,9,"Positive"
"likert","0jdztl5","11","No Priming",7.45333333333333,8914,9,"Positive"
"likert","0jdztl5","6","No Priming",3.9840625,14497,5,"Positive"
"likert","0jdztl5","18","No Priming",3.08292410714286,4515,7,"Negative"
"likert","0jdztl5","16","No Priming",3.06222222222222,6614,9,"Negative"
"likert","0jdztl5","13","No Priming",3.9520625,8831,5,"Positive"
"likert","0jdztl5","9","No Priming",4.3040625,4631,5,"Positive"
"likert","0jdztl5","1","No Priming",5.88888888888889,8831,9,"Positive"
"likert","0jdztl5","10","No Priming",5.98857142857143,9197,7,"Positive"
"likert","0jdztl5","2","No Priming",5.91149553571429,9049,7,"Positive"
"likert","0jdztl5","3","No Priming",3.512,3731,5,"Positive"
"likert","0jdztl5","15","No Priming",2.5200625,3698,5,"Negative"
"likert","0jdztl5","4","No Priming",5.55142857142857,6882,7,"Positive"
"likert","0jdztl5","8","No Priming",6.50229166666667,9365,9,"Positive"
"likert","0jdztl5","14","No Priming",5.40578125,4266,7,"Positive"
"likert","0jdztl5","21","No Priming",2.48292410714286,5065,7,"Negative"
"likert","0jdztl5","17","No Priming",3.63111111111111,3015,9,"Negative"
"likert","0jdztl5","19","No Priming",2.05428571428571,9515,7,"Negative"
"number","0jdztl5","f","No Priming",2.0575,7999,10,""
"number","0jdztl5","a","No Priming",5.98375,3782,10,""
"number","0jdztl5","e","No Priming",7.96375,2632,10,""
"number","0jdztl5","h","No Priming",2.1025,3181,10,""
"number","0jdztl5","g","No Priming",4.02625,2782,10,""
"number","0jdztl5","c","No Priming",4.99375,1432,10,""
"number","0jdztl5","b","No Priming",7.96375,2182,10,""
"number","0jdztl5","i","No Priming",3.07,4333,10,""
"number","0jdztl5","d","No Priming",8.93125,2682,10,""
"number","0jdztl5","j","No Priming",9.9775,3731,10,""
"number","0mcq0d5","c","Priming",4.94875,7881,10,""
"number","0mcq0d5","j","Priming",9.96625,11687,10,""
"number","0mcq0d5","i","Priming",3.12625,6113,10,""
"number","0mcq0d5","g","Priming",3.93625,2449,10,""
"number","0mcq0d5","f","Priming",2.11375,4300,10,""
"number","0mcq0d5","e","Priming",7.96375,2750,10,""
"number","0mcq0d5","b","Priming",7.94125,2833,10,""
"number","0mcq0d5","a","Priming",6.05125,3632,10,""
"number","0mcq0d5","d","Priming",8.86375,1897,10,""
"number","0mcq0d5","h","Priming",2.035,4268,10,""
"likert","0mcq0d5","13","Priming",3.10666666666667,27833,9,"Positive"
"likert","0mcq0d5","3","Priming",5.85142857142857,8800,7,"Positive"
"likert","0mcq0d5","1","Priming",2.048,8202,5,"Positive"
"likert","0mcq0d5","5","Priming",4.96,5987,7,"Positive"
"likert","0mcq0d5","15","Priming",6.00571428571429,9036,7,"Negative"
"likert","0mcq0d5","19","Priming",2.008,9221,5,"Negative"
"likert","0mcq0d5","9","Priming",3.15142857142857,7536,7,"Positive"
"likert","0mcq0d5","20","Priming",1.04,5716,5,"Negative"
"likert","0mcq0d5","14","Priming",8.94666666666667,21664,9,"Positive"
"likert","0mcq0d5","8","Priming",3.06222222222222,12355,9,"Positive"
"likert","0mcq0d5","17","Priming",1.976,5901,5,"Negative"
"likert","0mcq0d5","11","Priming",6.77777777777778,5717,9,"Positive"
"likert","0mcq0d5","7","Priming",6.88444444444444,9621,9,"Positive"
"likert","0mcq0d5","2","Priming",7.01777777777778,6267,9,"Positive"
"likert","0mcq0d5","21","Priming",1.928,6535,5,"Negative"
"likert","0mcq0d5","4","Priming",3.94,10223,7,"Positive"
"likert","0mcq0d5","6","Priming",4.97714285714286,3780,7,"Positive"
"likert","0mcq0d5","10","Priming",4.88444444444444,4666,9,"Positive"
"likert","0mcq0d5","18","Priming",2.92857142857143,4531,7,"Negative"
"likert","0mcq0d5","12","Priming",3.92,4717,5,"Positive"
"number","0qlzgwg","f","Priming",2.11375,3679,10,""
"number","0qlzgwg","a","Priming",6.04,2012,10,""
"number","0qlzgwg","g","Priming",4.02625,3915,10,""
"number","0qlzgwg","e","Priming",8.03125,2113,10,""
"number","0qlzgwg","j","Priming",9.91,1999,10,""
"number","0qlzgwg","c","Priming",5.0275,2031,10,""
"number","0qlzgwg","i","Priming",3.07,3915,10,""
"number","0qlzgwg","h","Priming",2.0575,1647,10,""
"number","0qlzgwg","b","Priming",7.89625,1983,10,""
"number","0qlzgwg","d","Priming",8.93125,1561,10,""
"likert","0qlzgwg","21","Priming",1.168,17100,5,"Negative"
"likert","0qlzgwg","9","Priming",8.88444444444444,10667,9,"Positive"
"likert","0qlzgwg","12","Priming",4.704125,6776,5,"Positive"
"likert","0qlzgwg","2","Priming",7.93333333333333,14109,9,"Positive"
"likert","0qlzgwg","5","Priming",5.94584821428571,15165,7,"Positive"
"likert","0qlzgwg","17","Priming",2.03727678571429,4864,7,"Negative"
"likert","0qlzgwg","4","Priming",6.06666666666667,6616,9,"Positive"
"likert","0qlzgwg","15","Priming",6.91111111111111,5432,9,"Negative"
"likert","0qlzgwg","16","Priming",1.944,11032,5,"Negative"
"likert","0qlzgwg","13","Priming",3.928,3626,5,"Positive"
"likert","0qlzgwg","14","Priming",5.008,8596,5,"Positive"
"likert","0qlzgwg","19","Priming",4.92888888888889,4832,9,"Negative"
"likert","0qlzgwg","6","Priming",4.52,3665,5,"Positive"
"likert","0qlzgwg","20","Priming",1.04299107142857,3532,7,"Negative"
"likert","0qlzgwg","8","Priming",5.95428571428571,5701,7,"Positive"
"likert","0qlzgwg","1","Priming",6.8115625,6162,7,"Positive"
"likert","0qlzgwg","11","Priming",8.97333333333333,3597,9,"Positive"
"likert","0qlzgwg","3","Priming",6.95727678571429,3765,7,"Positive"
"likert","0qlzgwg","7","Priming",7,4733,7,"Positive"
"likert","0qlzgwg","10","Priming",7.04444444444444,7749,9,"Positive"
"likert","17mhljp","9","No Priming",4.00444444444444,35352,9,"Positive"
"likert","17mhljp","19","No Priming",3.04,10596,7,"Negative"
"likert","17mhljp","4","No Priming",5.01151776994978,6689,7,"Positive"
"likert","17mhljp","21","No Priming",1.176,8163,5,"Negative"
"likert","17mhljp","15","No Priming",4.94285714285714,7310,7,"Negative"
